# 2-d radial distribution function g(r) 
# distance[A]  g(r)[-]  Coordination number[-]
   0.10    0.020702   0.208333E-04
   0.30    0.010351   0.520833E-04
   0.50    0.004140   0.729167E-04
   0.70    0.004436   0.104167E-03
   0.90    0.008051   0.177083E-03
   1.10    0.014115   0.333333E-03
   1.30    0.015128   0.531250E-03
   1.50    0.024152   0.895833E-03
   1.70    0.029835   0.140625E-02
   1.90    0.026150   0.190625E-02
   2.10    0.027602   0.248958E-02
   2.30    0.053555   0.372917E-02
   2.50    0.057551   0.517708E-02
   2.70    0.060572   0.682292E-02
   2.90    0.079238   0.913542E-02
   3.10    0.097165   0.121667E-01
   3.30    0.115742   0.160104E-01
   3.50    0.154672   0.214583E-01
   3.70    0.186876   0.284167E-01
   3.90    0.247891   0.381458E-01
   4.10    0.266851   0.491562E-01
   4.30    0.345913   0.641250E-01
   4.50    0.385054   0.815625E-01
   4.70    0.438041   0.102281E+00
   4.90    0.508673   0.127365E+00
   5.10    0.589799   0.157635E+00
   5.30    0.649763   0.192292E+00
   5.50    0.711578   0.231677E+00
   5.70    0.770688   0.275885E+00
   5.90    0.824037   0.324813E+00
   6.10    0.887123   0.379271E+00
   6.30    0.931746   0.438344E+00
   6.50    0.984928   0.502771E+00
   6.70    1.014388   0.571167E+00
   6.90    1.069743   0.645448E+00
   7.10    1.083492   0.722865E+00
   7.30    1.117898   0.804990E+00
   7.50    1.127696   0.890104E+00
   7.70    1.144917   0.978823E+00
   7.90    1.165721   0.107150E+01
   8.10    1.135149   0.116403E+01
   8.30    1.142341   0.125945E+01
   8.50    1.133119   0.135637E+01
   8.70    1.121586   0.145457E+01
   8.90    1.094521   0.155260E+01
   9.10    1.085594   0.165202E+01
   9.30    1.079388   0.175304E+01
   9.50    1.056228   0.185402E+01
   9.70    1.023459   0.195393E+01
   9.90    1.016584   0.205521E+01
  10.10    1.009777   0.215784E+01
  10.30    1.004540   0.226197E+01
  10.50    1.000982   0.236774E+01
  10.70    0.985174   0.247382E+01
  10.90    0.993022   0.258275E+01
  11.10    0.964592   0.269050E+01
  11.30    0.979580   0.280190E+01
  11.50    0.974875   0.291472E+01
  11.70    0.968119   0.302871E+01
  11.90    0.986206   0.314681E+01
  12.10    0.969050   0.326481E+01
  12.30    0.965159   0.338428E+01
  12.50    0.991202   0.350897E+01
  12.70    0.959211   0.363156E+01
  12.90    0.983737   0.375927E+01
  13.10    0.986180   0.388928E+01
  13.30    0.980456   0.402051E+01
  13.50    0.982876   0.415404E+01
  13.70    0.993082   0.429096E+01
  13.90    0.995995   0.443028E+01
  14.10    0.985391   0.457010E+01
  14.30    0.992022   0.471286E+01
  14.50    0.979981   0.485586E+01
  14.70    0.950452   0.499647E+01
  14.90    0.959508   0.514034E+01
  15.10    0.971065   0.528791E+01
  15.30    0.972579   0.543766E+01
  15.50    0.980264   0.559056E+01
  15.70    0.970414   0.574389E+01
  15.90    0.958468   0.589725E+01
