# 2-d radial distribution function g(r) 
# distance[A]  g(r)[-]  Coordination number[-]
   0.10    0.021070   0.208333E-04
   0.30    0.003512   0.312500E-04
   0.50    0.018963   0.125000E-03
   0.70    0.018060   0.250000E-03
   0.90    0.011705   0.354167E-03
   1.10    0.021070   0.583333E-03
   1.30    0.021070   0.854167E-03
   1.50    0.031605   0.132292E-02
   1.70    0.036562   0.193750E-02
   1.90    0.056556   0.300000E-02
   2.10    0.065216   0.435417E-02
   2.30    0.074202   0.604167E-02
   2.50    0.088914   0.823958E-02
   2.70    0.108470   0.111354E-01
   2.90    0.120606   0.145937E-01
   3.10    0.152586   0.192708E-01
   3.30    0.171112   0.248542E-01
   3.50    0.213707   0.322500E-01
   3.70    0.255114   0.415833E-01
   3.90    0.291194   0.528125E-01
   4.10    0.336088   0.664375E-01
   4.30    0.400080   0.834479E-01
   4.50    0.446210   0.103302E+00
   4.70    0.504328   0.126740E+00
   4.90    0.534913   0.152656E+00
   5.10    0.627134   0.184281E+00
   5.30    0.658528   0.218792E+00
   5.50    0.713689   0.257604E+00
   5.70    0.758140   0.300333E+00
   5.90    0.808684   0.347510E+00
   6.10    0.830700   0.397615E+00
   6.30    0.872052   0.451937E+00
   6.50    0.907619   0.510271E+00
   6.70    0.927539   0.571719E+00
   6.90    0.959741   0.637198E+00
   7.10    0.965498   0.704979E+00
   7.30    0.996338   0.776896E+00
   7.50    1.019915   0.852531E+00
   7.70    1.023797   0.930479E+00
   7.90    1.034150   0.101126E+01
   8.10    1.035928   0.109423E+01
   8.30    1.034701   0.117915E+01
   8.50    1.053114   0.126766E+01
   8.70    1.038229   0.135697E+01
   8.90    1.042596   0.144872E+01
   9.10    1.050592   0.154325E+01
   9.30    1.029131   0.163789E+01
   9.50    1.036297   0.173523E+01
   9.70    1.024054   0.183345E+01
   9.90    1.009218   0.193224E+01
  10.10    1.006966   0.203280E+01
  10.30    0.999584   0.213460E+01
  10.50    0.983555   0.223672E+01
  10.70    0.991951   0.234167E+01
  10.90    0.989987   0.244836E+01
  11.10    0.974902   0.255536E+01
  11.30    0.985895   0.266552E+01
  11.50    0.961604   0.277486E+01
  11.70    0.947777   0.288451E+01
  11.90    0.972660   0.299896E+01
  12.10    0.962329   0.311409E+01
  12.30    0.955161   0.323026E+01
  12.50    0.951003   0.334780E+01
  12.70    0.963981   0.346885E+01
  12.90    0.967329   0.359224E+01
  13.10    0.974273   0.371844E+01
  13.30    0.973564   0.384647E+01
  13.50    0.970924   0.397607E+01
  13.70    0.991892   0.411044E+01
  13.90    0.974209   0.424433E+01
  14.10    0.993191   0.438280E+01
  14.30    0.990792   0.452290E+01
  14.50    0.990349   0.466489E+01
  14.70    0.978165   0.480706E+01
  14.90    0.994024   0.495351E+01
  15.10    0.988323   0.510107E+01
  15.30    0.985663   0.525019E+01
  15.50    0.993607   0.540247E+01
  15.70    0.977528   0.555422E+01
  15.90    0.988819   0.570968E+01
  16.10    0.982098   0.586602E+01
  16.30    0.996481   0.602663E+01
  16.50    0.999152   0.618964E+01
  16.70    0.994882   0.635392E+01
  16.90    0.999939   0.652101E+01
  17.10    0.991263   0.668861E+01
  17.30    0.992895   0.685846E+01
  17.50    0.991180   0.702997E+01
  17.70    0.993372   0.720382E+01
  17.90    0.987923   0.737868E+01
  18.10    0.979567   0.755399E+01
  18.30    0.982102   0.773170E+01
  18.50    0.973136   0.790971E+01
  18.70    0.989488   0.809267E+01
  18.90    0.992339   0.827811E+01
  19.10    0.987684   0.846465E+01
  19.30    0.977995   0.865128E+01
  19.50    0.985955   0.884139E+01
  19.70    0.989849   0.903420E+01
  19.90    0.992288   0.922945E+01
  20.10    0.979794   0.942418E+01
  20.30    0.978704   0.962063E+01
  20.50    0.978714   0.981901E+01
  20.70    0.992363   0.100221E+02
  20.90    0.985539   0.102258E+02
  21.10    0.970755   0.104283E+02
